證券代碼,簡稱,TSE新產業_名稱,年月日,報酬率％,成交量(千股),本益比-TEJ,本益比-TSE
Y9999  ,加權指數     ,-         ,20230316,    -1.0818,  6688306,    11.4518,          -
2305   ,全友         ,電腦及週邊,20230317,     1.0482,      426,    81.7231,   401.6700
2809   ,京城銀       ,金融業    ,20230317,     0.4491,      649,    45.8497,    16.8600
Y9999  ,加權指數     ,-         ,20230317,     1.5231,  6140104,    11.6284,          -
2305   ,全友         ,電腦及週邊,20230320,     2.9046,      818,    84.0968,   413.3300
2809   ,京城銀       ,金融業    ,20230320,     0.0000,      527,    45.8497,    16.8600
Y9999  ,加權指數     ,-         ,20230320,    -0.2135,  4966795,    11.6034,          -
2305   ,全友         ,電腦及週邊,20230321,     4.6371,     1723,    87.9965,   432.5000
2809   ,京城銀       ,金融業    ,20230321,     1.0432,      461,    46.3280,    17.0400
Y9999  ,加權指數     ,-         ,20230321,     0.6062,  5007468,    11.6731,          -
2305   ,全友         ,電腦及週邊,20230322,    -0.9634,      985,    87.1487,   428.3300
2809   ,京城銀       ,金融業    ,20230322,     0.8850,      891,    46.7380,    17.1900
Y9999  ,加權指數     ,-         ,20230322,     1.5922,  5527343,    11.8572,          -
2305   ,全友         ,電腦及週邊,20230323,    -0.7782,      371,    86.4705,   425.0000
2809   ,京城銀       ,金融業    ,20230323,     0.5848,      991,    47.0113,    17.2900
Y9999  ,加權指數     ,-         ,20230323,     0.6566,  5396335,    11.9350,          -
2305   ,全友         ,電腦及週邊,20230324,     1.7647,      703,    87.9965,   432.5000
2809   ,京城銀       ,金融業    ,20230324,    -0.5814,      917,    46.7380,    17.1900
Y9999  ,加權指數     ,-         ,20230324,     0.3199,  5594716,    11.9774,          -
2305   ,全友         ,電腦及週邊,20230327,    -1.1561,      266,    86.9792,   427.5000
2809   ,京城銀       ,金融業    ,20230327,     1.1696,     1499,    47.2846,    17.3900
Y9999  ,加權指數     ,-         ,20230327,    -0.5303,  5112209,    11.9139,          -
2305   ,全友         ,電腦及週邊,20230328,    -2.7290,      359,    84.6055,   415.8300
2809   ,京城銀       ,金融業    ,20230328,     0.2890,      849,    47.4213,    17.4400
Y9999  ,加權指數     ,-         ,20230328,    -0.8138,  4785305,    11.8159,          -
2305   ,全友         ,電腦及週邊,20230329,    -0.8016,      227,    83.9273,   412.5000
2809   ,京城銀       ,金融業    ,20230329,    -0.1441,      336,    47.3530,    17.4100
Y9999  ,加權指數     ,-         ,20230329,     0.4349,  4465210,    11.8682,          -
2305   ,全友         ,電腦及週邊,20230330,     0.6061,      181,    84.4359,   415.0000
2809   ,京城銀       ,金融業    ,20230330,     0.2886,      936,    47.4896,    17.4600
Y9999  ,加權指數     ,-         ,20230330,     0.5052,  4344704,    11.9283,          -
2305   ,全友         ,電腦及週邊,20230331,    -0.4016,      199,    84.0968,   413.3300
2809   ,京城銀       ,金融業    ,20230331,     1.4388,     1655,    48.1729,    17.7100
Y9999  ,加權指數     ,-         ,20230331,     0.1175,  4855726,    11.9491,          -
2305   ,全友         ,電腦及週邊,20230406,    -0.4032,      151,    83.7577,   411.6700
2809   ,京城銀       ,金融業    ,20230406,     0.5674,      988,    48.4463,    17.8100
Y9999  ,加權指數     ,-         ,20230406,    -0.3610,  5051314,    11.9058,          -
2305   ,全友         ,電腦及週邊,20230407,     0.0000,      196,    83.7577,   411.6700
2809   ,京城銀       ,金融業    ,20230407,     0.0000,      737,    48.4463,    17.8100
Y9999  ,加權指數     ,-         ,20230407,     0.1627,  4238950,    11.9287,          -
2305   ,全友         ,電腦及週邊,20230410,    -2.0243,      527,    82.0622,   403.3300
2809   ,京城銀       ,金融業    ,20230410,    -2.1157,     1595,    47.4213,    17.4400
Y9999  ,加權指數     ,-         ,20230410,     0.2505,  4356302,    11.9583,          -
2305   ,全友         ,電腦及週邊,20230411,     0.8264,      305,    82.7404,   406.6700
2809   ,京城銀       ,金融業    ,20230411,     0.2882,     1084,    47.5580,    17.4900
Y9999  ,加權指數     ,-         ,20230411,     0.2375,  5018999,    11.9866,          -
2305   ,全友         ,電腦及週邊,20230412,     2.2541,      742,    84.6055,   415.8300
2809   ,京城銀       ,金融業    ,20230412,    -0.2874,      592,    47.4213,    17.4400
Y9999  ,加權指數     ,-         ,20230412,     0.1200,  5435877,    11.9959,          -
2305   ,全友         ,電腦及週邊,20230413,    -1.8036,      280,    83.0795,   408.3300
2809   ,京城銀       ,金融業    ,20230413,    -0.4323,      499,    47.2163,    17.3600
Y9999  ,加權指數     ,-         ,20230413,    -0.8047,  6279791,    11.9001,          -
2305   ,全友         ,電腦及週邊,20230414,    -1.0204,      388,    82.2318,   404.1700
2809   ,京城銀       ,金融業    ,20230414,     0.0000,      571,    47.2163,    17.3600
Y9999  ,加權指數     ,-         ,20230414,     0.7888,  6048915,    11.9938,          -
2305   ,全友         ,電腦及週邊,20230417,     0.6186,      207,    82.7404,   406.6700
2809   ,京城銀       ,金融業    ,20230417,     0.2894,     1056,    47.3530,    17.4100
Y9999  ,加權指數     ,-         ,20230417,     0.2142,  5899214,    12.0181,          -
2305   ,全友         ,電腦及週邊,20230418,    -1.6393,      725,    81.3840,   400.0000
2809   ,京城銀       ,金融業    ,20230418,     0.2886,      449,    47.4896,    17.4600
Y9999  ,加權指數     ,-         ,20230418,    -0.5895,  5778934,    11.9469,          -
2305   ,全友         ,電腦及週邊,20230419,     1.6667,      458,    82.7404,   406.6700
2809   ,京城銀       ,金融業    ,20230419,    -0.8633,      787,    47.0797,    17.3100
Y9999  ,加權指數     ,-         ,20230419,    -0.6237,  5795511,    11.8732,          -
2305   ,全友         ,電腦及週邊,20230420,    -2.0492,      238,    81.0449,   398.3300
2809   ,京城銀       ,金融業    ,20230420,     0.4354,      419,    47.2846,    17.3900
Y9999  ,加權指數     ,-         ,20230420,    -0.3992,  5539416,    11.8256,          -
2305   ,全友         ,電腦及週邊,20230421,    -1.2552,      368,    80.0276,   393.3300
2809   ,京城銀       ,金融業    ,20230421,     0.1445,      535,    47.3530,    17.4100
Y9999  ,加權指數     ,-         ,20230421,    -0.6655,  6056927,    11.7477,          -
2305   ,全友         ,電腦及週邊,20230424,     0.0000,      134,    80.0276,   393.3300
2809   ,京城銀       ,金融業    ,20230424,    -0.2886,      477,    47.2163,    17.3600
Y9999  ,加權指數     ,-         ,20230424,     0.1530,  4628032,    11.7657,          -
2305   ,全友         ,電腦及週邊,20230425,    -5.7203,      593,    75.4498,   370.8300
2809   ,京城銀       ,金融業    ,20230425,    -0.2894,     1067,    47.0797,    12.7100
Y9999  ,加權指數     ,-         ,20230425,    -1.6391,  6476866,    11.5738,          -
2305   ,全友         ,電腦及週邊,20230426,     0.6742,      605,    75.9584,   373.3300
2809   ,京城銀       ,金融業    ,20230426,     1.3062,      908,    47.6946,    12.8800
Y9999  ,加權指數     ,-         ,20230426,     0.0254,  5308551,    11.5768,          -
2305   ,全友         ,電腦及週邊,20230427,    -0.6696,      309,    75.4498,   370.8300
2809   ,京城銀       ,金融業    ,20230427,    -0.1433,      462,    47.6263,    12.8600
Y9999  ,加權指數     ,-         ,20230427,     0.2397,  5020367,    11.6046,          -
2305   ,全友         ,電腦及週邊,20230428,     1.3483,      266,    76.4671,   375.8300
2809   ,京城銀       ,金融業    ,20230428,     1.1478,      715,    48.1729,    13.0100
Y9999  ,加權指數     ,-         ,20230428,     1.0881,  5582127,    11.7315,          -
2305   ,全友         ,電腦及週邊,20230502,    -0.8869,      204,    75.7889,   372.5000
2809   ,京城銀       ,金融業    ,20230502,     0.5674,      566,    48.4463,    13.0800
Y9999  ,加權指數     ,-         ,20230502,     0.3678,  5567907,    11.7775,          -
2305   ,全友         ,電腦及週邊,20230503,    -1.5660,      307,    74.6020,   366.6700
2809   ,京城銀       ,金融業    ,20230503,    -0.8463,      413,    48.0363,    12.9700
Y9999  ,加權指數     ,-         ,20230503,    -0.5313,  5092780,    11.7148,          -
2305   ,全友         ,電腦及週邊,20230504,     1.3636,      307,    75.6193,   371.6700
2809   ,京城銀       ,金融業    ,20230504,     1.2802,     1540,    48.6513,    13.1400
Y9999  ,加權指數     ,-         ,20230504,     0.3576,  4891203,    11.7576,          -
2305   ,全友         ,電腦及週邊,20230505,    -0.6726,      142,    75.1107,   369.1700
2809   ,京城銀       ,金融業    ,20230505,    -0.8427,      629,    48.2413,    13.0300
Y9999  ,加權指數     ,-         ,20230505,     0.1092,  4586675,    11.7705,          -
2305   ,全友         ,電腦及週邊,20230508,    -0.6772,      128,    74.6020,   366.6700
2809   ,京城銀       ,金融業    ,20230508,     0.7082,      809,    48.5829,    13.1200
Y9999  ,加權指數     ,-         ,20230508,     0.4704,  5395345,    11.8269,          -
2305   ,全友         ,電腦及週邊,20230509,    -3.6364,      432,    71.8892,   353.3300
2809   ,京城銀       ,金融業    ,20230509,     0.1406,     1257,    48.6513,    13.1400
Y9999  ,加權指數     ,-         ,20230509,     0.1792,  5192657,    11.8490,          -
