證券代碼,簡稱,TSE新產業_名稱,年月日,報酬率％,成交量(千股),本益比-TEJ,本益比-TSE
2305   ,全友         ,電腦及週邊,20231030,    -1.3861,     2887,          -,          -
2809   ,京城銀       ,金融業    ,20231030,    -0.1330,      468,    11.2496,    11.2400
Y9999  ,加權指數     ,-         ,20231030,     0.0934,  4531453,    18.4527,          -
2305   ,全友         ,電腦及週邊,20231031,    -1.8072,     3915,          -,          -
2809   ,京城銀       ,金融業    ,20231031,    -1.0652,     1892,    11.1298,     7.3600
Y9999  ,加權指數     ,-         ,20231031,    -0.9190,  5582483,    18.2809,          -
2305   ,全友         ,電腦及週邊,20231101,    -1.0225,     3290,          -,          -
2809   ,京城銀       ,金融業    ,20231101,     0.0000,     1133,    11.1298,     7.3600
Y9999  ,加權指數     ,-         ,20231101,     0.2330,  4679344,    18.3260,          -
2305   ,全友         ,電腦及週邊,20231102,     0.2066,     3040,          -,          -
2809   ,京城銀       ,金融業    ,20231102,     0.4038,      932,    11.1747,     7.3900
Y9999  ,加權指數     ,-         ,20231102,     2.2346,  5467497,    18.7358,          -
2305   ,全友         ,電腦及週邊,20231103,    -0.6186,     2217,          -,          -
2809   ,京城銀       ,金融業    ,20231103,     1.2064,     1182,    11.3095,     7.4800
Y9999  ,加權指數     ,-         ,20231103,     0.6751,  5758266,    18.8654,          -
2305   ,全友         ,電腦及週邊,20231106,     2.0747,     1906,          -,          -
2809   ,京城銀       ,金融業    ,20231106,     0.6623,     1589,    11.3844,     7.5200
Y9999  ,加權指數     ,-         ,20231106,     0.8585,  5913939,    19.0263,          -
2305   ,全友         ,電腦及週邊,20231107,     0.4065,     2803,          -,          -
2809   ,京城銀       ,金融業    ,20231107,     0.7895,     1502,    11.4743,     7.5800
Y9999  ,加權指數     ,-         ,20231107,     0.2138,  4728818,    19.0657,          -
2305   ,全友         ,電腦及週邊,20231108,     0.6073,     2360,          -,          -
2809   ,京城銀       ,金融業    ,20231108,     1.3055,     2454,    11.6241,     7.6800
Y9999  ,加權指數     ,-         ,20231108,     0.3349,  5597358,    19.1298,          -
2305   ,全友         ,電腦及週邊,20231109,     1.6097,     2484,          -,          -
2809   ,京城銀       ,金融業    ,20231109,    -1.6753,     1549,    11.4294,     7.5500
Y9999  ,加權指數     ,-         ,20231109,     0.0288,  5081119,    19.1362,          -
2305   ,全友         ,電腦及週邊,20231110,    -2.3762,     3999,          -,          -
2809   ,京城銀       ,金融業    ,20231110,     0.6553,     1986,    11.5043,     7.6000
Y9999  ,加權指數     ,-         ,20231110,    -0.3761,  4635094,    19.0644,          -
2305   ,全友         ,電腦及週邊,20231113,    -1.2170,     1777,          -,          -
2809   ,京城銀       ,金融業    ,20231113,    -0.5208,      734,    11.4443,     7.5600
Y9999  ,加權指數     ,-         ,20231113,     0.9388,  5502240,    19.2442,          -
2305   ,全友         ,電腦及週邊,20231114,    -3.2854,     1985,          -,          -
2809   ,京城銀       ,金融業    ,20231114,     0.5236,      849,    11.5043,     7.6000
Y9999  ,加權指數     ,-         ,20231114,     0.4538,  5471883,    19.3308,          -
2305   ,全友         ,電腦及週邊,20231115,     0.8493,     1790,          -,          -
2809   ,京城銀       ,金融業    ,20231115,     0.3906,     1774,    11.5492,     7.6300
Y9999  ,加權指數     ,-         ,20231115,     1.2596,  7708865,    19.5736,          -
2305   ,全友         ,電腦及週邊,20231116,     0.0000,     1496,          -,          -
2809   ,京城銀       ,金融業    ,20231116,     0.1297,      661,    11.5642,     7.6400
Y9999  ,加權指數     ,-         ,20231116,     0.2475,  6383755,    19.6217,          -
2305   ,全友         ,電腦及週邊,20231117,    -0.4211,     1345,          -,          -
2809   ,京城銀       ,金融業    ,20231117,    -0.2591,      932,    11.5342,     7.6200
Y9999  ,加權指數     ,-         ,20231117,     0.2200,  6363298,    19.6648,          -
2305   ,全友         ,電腦及週邊,20231120,     1.2685,      822,          -,          -
2809   ,京城銀       ,金融業    ,20231120,    -0.1299,      853,    11.5192,     7.6100
Y9999  ,加權指數     ,-         ,20231120,     0.0088,  6131870,    19.6665,          -
2305   ,全友         ,電腦及週邊,20231121,    -0.8351,     1036,          -,          -
2809   ,京城銀       ,金融業    ,20231121,     1.9506,     3228,    11.7439,     7.7600
Y9999  ,加權指數     ,-         ,20231121,     1.1983,  7378981,    19.9063,          -
2305   ,全友         ,電腦及週邊,20231122,     0.6316,     1058,          -,          -
2809   ,京城銀       ,金融業    ,20231122,     1.1480,     2373,    11.8787,     7.8500
Y9999  ,加權指數     ,-         ,20231122,    -0.6111,  6155942,    19.7844,          -
2305   ,全友         ,電腦及週邊,20231123,    -0.8368,      700,          -,          -
2809   ,京城銀       ,金融業    ,20231123,    -0.6305,      853,    11.8038,     7.8000
Y9999  ,加權指數     ,-         ,20231123,    -0.0908,  6100401,    19.7664,          -
2305   ,全友         ,電腦及週邊,20231124,    -0.8439,      792,          -,          -
2809   ,京城銀       ,金融業    ,20231124,    -0.1269,      721,    11.7889,     7.7900
Y9999  ,加權指數     ,-         ,20231124,    -0.0412,  5487528,    19.7575,          -
2305   ,全友         ,電腦及週邊,20231127,    -1.4894,      671,          -,          -
2809   ,京城銀       ,金融業    ,20231127,     0.3812,     1156,    11.8338,     7.8200
Y9999  ,加權指數     ,-         ,20231127,    -0.8677,  6006736,    19.5865,          -
2305   ,全友         ,電腦及週邊,20231128,     0.2160,      623,          -,          -
2809   ,京城銀       ,金融業    ,20231128,    -0.1266,      890,    11.8188,     7.8100
Y9999  ,加權指數     ,-         ,20231128,     1.1894,  6327225,    19.8210,          -
2305   ,全友         ,電腦及週邊,20231129,    -0.8621,      530,          -,          -
2809   ,京城銀       ,金融業    ,20231129,    -0.1267,      852,    11.8038,     7.8000
Y9999  ,加權指數     ,-         ,20231129,     0.1690,  7008357,    19.8540,          -
2305   ,全友         ,電腦及週邊,20231130,     0.6522,      564,          -,          -
2809   ,京城銀       ,金融業    ,20231130,     0.0000,     1815,    11.8038,     7.8000
Y9999  ,加權指數     ,-         ,20231130,     0.3644,  7348343,    19.9287,          -
2305   ,全友         ,電腦及週邊,20231201,     0.6479,      462,          -,          -
2809   ,京城銀       ,金融業    ,20231201,     1.1421,     1804,     7.8933,     7.8900
Y9999  ,加權指數     ,-         ,20231201,     0.0258,  6449439,    21.2175,          -
2305   ,全友         ,電腦及週邊,20231204,    -1.0730,      390,          -,          -
2809   ,京城銀       ,金融業    ,20231204,    -0.3764,      724,     7.8636,     7.8600
Y9999  ,加權指數     ,-         ,20231204,    -0.0967,  7455122,    21.1978,          -
2305   ,全友         ,電腦及週邊,20231205,    -3.0369,      793,          -,          -
2809   ,京城銀       ,金融業    ,20231205,     1.5113,     2896,     7.9825,     7.9800
Y9999  ,加權指數     ,-         ,20231205,    -0.5365,  7011018,    21.0853,          -
2305   ,全友         ,電腦及週邊,20231206,     0.6711,      358,          -,          -
2809   ,京城銀       ,金融業    ,20231206,     0.1241,     1032,     7.9924,     7.9900
Y9999  ,加權指數     ,-         ,20231206,     0.1888,  6495028,    21.1262,          -
2305   ,全友         ,電腦及週邊,20231207,    -1.1111,      296,          -,          -
2809   ,京城銀       ,金融業    ,20231207,    -0.2478,      945,     7.9726,     7.9700
Y9999  ,加權指數     ,-         ,20231207,    -0.4722,  6960938,    21.0273,          -
2305   ,全友         ,電腦及週邊,20231208,     0.4494,      265,          -,          -
2809   ,京城銀       ,金融業    ,20231208,    -0.2484,      800,     7.9528,     7.9500
Y9999  ,加權指數     ,-         ,20231208,     0.6091,  6460484,    21.1601,          -
2305   ,全友         ,電腦及週邊,20231211,     2.4609,      584,          -,          -
2809   ,京城銀       ,金融業    ,20231211,    -0.1245,      739,     7.9428,     7.9400
Y9999  ,加權指數     ,-         ,20231211,     0.1976,  6178381,    21.2014,          -
2305   ,全友         ,電腦及週邊,20231212,    -1.0917,      300,          -,          -
2809   ,京城銀       ,金融業    ,20231212,    -0.1247,     1145,     7.9329,     7.9300
Y9999  ,加權指數     ,-         ,20231212,     0.1854,  6593662,    21.2408,          -
2305   ,全友         ,電腦及週邊,20231213,    -0.2208,      213,          -,          -
2809   ,京城銀       ,金融業    ,20231213,    -0.8739,     1353,     7.8636,     7.8600
Y9999  ,加權指數     ,-         ,20231213,     0.1049,  7022597,    21.2629,          -
2305   ,全友         ,電腦及週邊,20231214,     0.2212,      681,          -,          -
2809   ,京城銀       ,金融業    ,20231214,     0.6297,     2175,     7.9131,     7.9100
Y9999  ,加權指數     ,-         ,20231214,     1.0543,  8512618,    21.4860,          -
2305   ,全友         ,電腦及週邊,20231215,     2.4283,      809,          -,          -
2809   ,京城銀       ,金融業    ,20231215,     0.0000,     2505,     7.9131,     7.9100
Y9999  ,加權指數     ,-         ,20231215,     0.1176,  9256588,    21.5232,          -
2305   ,全友         ,電腦及週邊,20231218,    -1.0776,      715,          -,          -
2809   ,京城銀       ,金融業    ,20231218,    -0.3755,     3541,     7.8834,     7.8800
Y9999  ,加權指數     ,-         ,20231218,    -0.1236,  7531216,    21.4975,          -
2305   ,全友         ,電腦及週邊,20231219,    -1.7429,      407,          -,          -
2809   ,京城銀       ,金融業    ,20231219,    -2.0101,     4564,     7.7250,     7.7200
Y9999  ,加權指數     ,-         ,20231219,    -0.4276,  7179470,    21.4024,          -
2305   ,全友         ,電腦及週邊,20231220,     0.0000,      233,          -,          -
2809   ,京城銀       ,金融業    ,20231220,     0.0000,     3959,     7.7250,     7.7200
Y9999  ,加權指數     ,-         ,20231220,     0.3337,  7112769,    21.4730,          -
2305   ,全友         ,電腦及週邊,20231221,    -0.4435,      235,          -,          -
2809   ,京城銀       ,金融業    ,20231221,    -1.0256,     4939,     7.6457,     7.6400
Y9999  ,加權指數     ,-         ,20231221,    -0.5186,  7391178,    21.3622,          -
2305   ,全友         ,電腦及週邊,20231222,    -0.8909,      253,          -,          -
2809   ,京城銀       ,金融業    ,20231222,     1.6839,     3801,     7.7745,     7.7700
Y9999  ,加權指數     ,-         ,20231222,     0.3015,  6878372,    21.4224,          -
2305   ,全友         ,電腦及週邊,20231225,    -0.6742,      236,          -,          -
2809   ,京城銀       ,金融業    ,20231225,     0.2548,      609,     7.7943,     7.7900
Y9999  ,加權指數     ,-         ,20231225,     0.0467,  5771072,    21.4335,          -
2305   ,全友         ,電腦及週邊,20231226,     0.4525,      144,          -,          -
2809   ,京城銀       ,金融業    ,20231226,     0.0000,      540,     7.7943,     7.7900
Y9999  ,加權指數     ,-         ,20231226,     0.8344,  5536355,    21.6110,          -
2305   ,全友         ,電腦及週邊,20231227,     1.3514,      583,          -,          -
2809   ,京城銀       ,金融業    ,20231227,     0.3812,     1217,     7.8240,     7.8200
Y9999  ,加權指數     ,-         ,20231227,     0.7874,  6800409,    21.7795,          -
2305   ,全友         ,電腦及週邊,20231228,     1.3333,      502,          -,          -
2809   ,京城銀       ,金融業    ,20231228,     0.8861,     1566,     7.8933,     7.8900
Y9999  ,加權指數     ,-         ,20231228,     0.1055,  6580845,    21.8032,          -
2305   ,全友         ,電腦及週邊,20231229,    -0.4386,      215,          -,          -
2809   ,京城銀       ,金融業    ,20231229,     0.2509,     1813,     7.9131,     7.9100
Y9999  ,加權指數     ,-         ,20231229,     0.1141,  5813967,    21.8298,          -
