證券名稱,簡稱,年月日,外資買賣超(千股),投信買賣超(千股),自營買賣超(千股)
Y9999  ,加權指數     ,20230714,   181917,   -24974,   -45035
2305   ,全友         ,20230717,       44,        0,       -1
2809   ,京城銀       ,20230717,      671,     -162,      -78
Y9999  ,加權指數     ,20230717,   226489,   -18124,    13441
2305   ,全友         ,20230718,     -103,        0,        0
2809   ,京城銀       ,20230718,      234,      -11,      -95
Y9999  ,加權指數     ,20230718,  -224304,   -21555,   -66926
2305   ,全友         ,20230719,      -35,        0,       -2
2809   ,京城銀       ,20230719,      158,        0,     -237
Y9999  ,加權指數     ,20230719,  -127127,   -27423,  -109368
2305   ,全友         ,20230720,      125,        0,        0
2809   ,京城銀       ,20230720,      459,       -1,     -175
Y9999  ,加權指數     ,20230720,   146390,   -23789,    -4151
2305   ,全友         ,20230721,      -69,        0,        0
2809   ,京城銀       ,20230721,      350,      -13,     -320
Y9999  ,加權指數     ,20230721,  -192128,   -28208,    -3624
2305   ,全友         ,20230724,     -155,        0,        0
2809   ,京城銀       ,20230724,      -51,      -56,     -842
Y9999  ,加權指數     ,20230724,  -289903,   -39993,   -49608
2305   ,全友         ,20230725,      185,        0,        0
2809   ,京城銀       ,20230725,     -145,       -1,     -393
Y9999  ,加權指數     ,20230725,   157485,   -16027,   -16045
2305   ,全友         ,20230726,      -65,        0,        3
2809   ,京城銀       ,20230726,      637,       -2,     -183
Y9999  ,加權指數     ,20230726,   224947,   -25343,    -5567
2305   ,全友         ,20230727,       30,        0,        0
2809   ,京城銀       ,20230727,      422,        0,      -11
Y9999  ,加權指數     ,20230727,   382605,    -2013,    56677
2305   ,全友         ,20230728,      -27,        0,       -3
2809   ,京城銀       ,20230728,      302,        0,     -384
Y9999  ,加權指數     ,20230728,   -22683,    16543,   -43253
2305   ,全友         ,20230731,      -30,        0,        0
2809   ,京城銀       ,20230731,      -31,       -1,     -117
Y9999  ,加權指數     ,20230731,  -162322,    30118,   -15559
2305   ,全友         ,20230801,      -12,        0,        0
2809   ,京城銀       ,20230801,      191,        0,     -127
Y9999  ,加權指數     ,20230801,   100334,    13253,    11192
2305   ,全友         ,20230802,      -86,        0,        0
2809   ,京城銀       ,20230802,      -24,        0,      -93
Y9999  ,加權指數     ,20230802,  -364438,    43658,   -97010
2305   ,全友         ,20230804,       12,        0,        0
2809   ,京城銀       ,20230804,     2050,        2,     -624
Y9999  ,加權指數     ,20230804,   -79682,    28121,   -40731
2305   ,全友         ,20230807,       -8,        0,       -1
2809   ,京城銀       ,20230807,     -101,       -3,     -174
Y9999  ,加權指數     ,20230807,    37040,    39296,   -28994
2305   ,全友         ,20230808,      -57,        0,       -2
2809   ,京城銀       ,20230808,      227,       -8,     -246
Y9999  ,加權指數     ,20230808,  -172211,    46365,   -54882
2305   ,全友         ,20230809,       96,        0,        0
2809   ,京城銀       ,20230809,     -373,        0,      -33
Y9999  ,加權指數     ,20230809,    88738,    41641,   -36765
2305   ,全友         ,20230810,      158,        0,       -3
2809   ,京城銀       ,20230810,       65,        0,       58
Y9999  ,加權指數     ,20230810,  -233276,    44508,   -74104
2305   ,全友         ,20230811,     -209,        0,       -1
2809   ,京城銀       ,20230811,      144,        1,      -87
Y9999  ,加權指數     ,20230811,   -28663,    25820,   -46823
2305   ,全友         ,20230814,     -245,        0,        1
2809   ,京城銀       ,20230814,      615,        2,     -277
Y9999  ,加權指數     ,20230814,  -222028,    67824,   -83992
2305   ,全友         ,20230815,       80,        0,        0
2809   ,京城銀       ,20230815,      187,        0,     -104
Y9999  ,加權指數     ,20230815,    42331,    -9823,     2187
2305   ,全友         ,20230816,      -27,        0,        0
2809   ,京城銀       ,20230816,       22,       19,       80
Y9999  ,加權指數     ,20230816,  -241197,    37776,   -18700
2305   ,全友         ,20230817,       60,        0,       -3
2809   ,京城銀       ,20230817,     -250,       79,       34
Y9999  ,加權指數     ,20230817,  -181328,    32056,    28888
2305   ,全友         ,20230818,       -8,        0,       -1
2809   ,京城銀       ,20230818,      396,        0,     -111
Y9999  ,加權指數     ,20230818,  -189844,    11300,   -26149
2305   ,全友         ,20230821,      -38,        0,        2
2809   ,京城銀       ,20230821,      203,        0,      -59
Y9999  ,加權指數     ,20230821,   345990,     6736,    -6595
2305   ,全友         ,20230822,      -64,        0,        0
2809   ,京城銀       ,20230822,      481,        0,     -180
Y9999  ,加權指數     ,20230822,  -106719,    12737,   -21308
2305   ,全友         ,20230823,       42,        0,        0
2809   ,京城銀       ,20230823,      240,       64,      -93
Y9999  ,加權指數     ,20230823,    37003,    12382,      913
2305   ,全友         ,20230824,      -23,        0,       -2
2809   ,京城銀       ,20230824,      175,       55,     -245
