證券代碼,簡稱,年月日,成交量(千股),報酬率％,本益比-TEJ
2809   ,京城銀       ,20230316,     2609,    -2.0528,    45.6447
2305   ,全友         ,20230316,      710,    -4.4088,    80.8754
2809   ,京城銀       ,20230317,      649,     0.4491,    45.8497
2305   ,全友         ,20230317,      426,     1.0482,    81.7231
2809   ,京城銀       ,20230320,      527,     0.0000,    45.8497
2305   ,全友         ,20230320,      818,     2.9046,    84.0968
2809   ,京城銀       ,20230321,      461,     1.0432,    46.3280
2305   ,全友         ,20230321,     1723,     4.6371,    87.9965
2809   ,京城銀       ,20230322,      891,     0.8850,    46.7380
2305   ,全友         ,20230322,      985,    -0.9634,    87.1487
2809   ,京城銀       ,20230323,      991,     0.5848,    47.0113
2305   ,全友         ,20230323,      371,    -0.7782,    86.4705
2809   ,京城銀       ,20230324,      917,    -0.5814,    46.7380
2305   ,全友         ,20230324,      703,     1.7647,    87.9965
2809   ,京城銀       ,20230327,     1499,     1.1696,    47.2846
2305   ,全友         ,20230327,      266,    -1.1561,    86.9792
2809   ,京城銀       ,20230328,      849,     0.2890,    47.4213
2305   ,全友         ,20230328,      359,    -2.7290,    84.6055
2809   ,京城銀       ,20230329,      336,    -0.1441,    47.3530
2305   ,全友         ,20230329,      227,    -0.8016,    83.9273
2809   ,京城銀       ,20230330,      936,     0.2886,    47.4896
2305   ,全友         ,20230330,      181,     0.6061,    84.4359
2809   ,京城銀       ,20230331,     1655,     1.4388,    48.1729
2305   ,全友         ,20230331,      199,    -0.4016,    84.0968
2809   ,京城銀       ,20230406,      988,     0.5674,    48.4463
2305   ,全友         ,20230406,      151,    -0.4032,    83.7577
2809   ,京城銀       ,20230407,      737,     0.0000,    48.4463
2305   ,全友         ,20230407,      196,     0.0000,    83.7577
2809   ,京城銀       ,20230410,     1595,    -2.1157,    47.4213
2305   ,全友         ,20230410,      527,    -2.0243,    82.0622
2809   ,京城銀       ,20230411,     1084,     0.2882,    47.5580
2305   ,全友         ,20230411,      305,     0.8264,    82.7404
2809   ,京城銀       ,20230412,      592,    -0.2874,    47.4213
2305   ,全友         ,20230412,      742,     2.2541,    84.6055
2809   ,京城銀       ,20230413,      499,    -0.4323,    47.2163
2305   ,全友         ,20230413,      280,    -1.8036,    83.0795
2809   ,京城銀       ,20230414,      571,     0.0000,    47.2163
2305   ,全友         ,20230414,      388,    -1.0204,    82.2318
2809   ,京城銀       ,20230417,     1056,     0.2894,    47.3530
2305   ,全友         ,20230417,      207,     0.6186,    82.7404
2809   ,京城銀       ,20230418,      449,     0.2886,    47.4896
2305   ,全友         ,20230418,      725,    -1.6393,    81.3840
2809   ,京城銀       ,20230419,      787,    -0.8633,    47.0797
2305   ,全友         ,20230419,      458,     1.6667,    82.7404
2809   ,京城銀       ,20230420,      419,     0.4354,    47.2846
2305   ,全友         ,20230420,      238,    -2.0492,    81.0449
2809   ,京城銀       ,20230421,      535,     0.1445,    47.3530
2305   ,全友         ,20230421,      368,    -1.2552,    80.0276
2809   ,京城銀       ,20230424,      477,    -0.2886,    47.2163
2305   ,全友         ,20230424,      134,     0.0000,    80.0276
2809   ,京城銀       ,20230425,     1067,    -0.2894,    47.0797
2305   ,全友         ,20230425,      593,    -5.7203,    75.4498
2809   ,京城銀       ,20230426,      908,     1.3062,    47.6946
2305   ,全友         ,20230426,      605,     0.6742,    75.9584
2809   ,京城銀       ,20230427,      462,    -0.1433,    47.6263
2305   ,全友         ,20230427,      309,    -0.6696,    75.4498
2809   ,京城銀       ,20230428,      715,     1.1478,    48.1729
2305   ,全友         ,20230428,      266,     1.3483,    76.4671
2809   ,京城銀       ,20230502,      566,     0.5674,    48.4463
2305   ,全友         ,20230502,      204,    -0.8869,    75.7889
2809   ,京城銀       ,20230503,      413,    -0.8463,    48.0363
2305   ,全友         ,20230503,      307,    -1.5660,    74.6020
2809   ,京城銀       ,20230504,     1540,     1.2802,    48.6513
2305   ,全友         ,20230504,      307,     1.3636,    75.6193
2809   ,京城銀       ,20230505,      629,    -0.8427,    48.2413
2305   ,全友         ,20230505,      142,    -0.6726,    75.1107
2809   ,京城銀       ,20230508,      809,     0.7082,    48.5829
2305   ,全友         ,20230508,      128,    -0.6772,    74.6020
2809   ,京城銀       ,20230509,     1257,     0.1406,    48.6513
2305   ,全友         ,20230509,      432,    -3.6364,    71.8892
2809   ,京城銀       ,20230510,      470,    -0.4213,    48.4463
2305   ,全友         ,20230510,      198,     1.4151,    72.9065
2809   ,京城銀       ,20230511,      323,    -0.2821,    48.3096
2305   ,全友         ,20230511,      318,    -2.5581,    71.0415
2809   ,京城銀       ,20230512,      828,    -0.7072,    47.9679
